student_id,name,college,major,study_time,library_count,consume_avg,night_net_ratio,risk_prob,risk_label,cluster,study_index,self_discipline_index,health_index,risk_index,development_index,performance_level,study_index_display,self_discipline_index_display,health_index_display,risk_index_display,development_index_display
200307700011,,计算机科学与技术学院,数据科学与大数据技术,8998.0,2.0,,0.0,0.0365597991933675,1.0,1,6.709999999999999,0.5,0.0,764.2833333333333,0.0,低表现,1.2,1.8,0.0,74.1,0.0
pjvyzvfj974,,人工智能学院,人工智能（第二学士学位）,4568.0,0.0,,0.0,0.0,1.0,1,11.526125,0.0,0.0,0.0,26.1179,低表现,11.6,0.7,0.0,98.8,26.1
pjvyzvfj977,,人工智能学院,人工智能（第二学士学位）,1203.0,0.0,,0.0,0.0,1.0,1,4.793259615384616,0.0,0.0,0.0,20.5115,低表现,0.2,0.7,0.0,98.8,20.5
pjvyzvfj989,,人工智能学院,人工智能（第二学士学位）,6.0,0.0,,0.0,0.0,1.0,1,6.662598529411765,0.2,0.2,0.0,24.015100000000004,低表现,1.2,1.5,0.2,98.8,24.0
pjvyzvfj994,,人工智能学院,人工智能（第二学士学位）,15.0,0.0,,0.0,0.0,1.0,1,10.04167380952381,1.0,0.8,0.0,20.2086,低表现,3.6,2.1,0.8,98.8,20.2
pjvyzvfj998,,人工智能学院,人工智能（第二学士学位）,0.0,0.0,,0.0,0.0,1.0,1,11.255410526315789,0.2,0.2,0.0,19.0448,低表现,9.0,1.5,0.2,98.8,19.0
pjvyzxbj993,,人工智能学院,智能科学与技术,39372.0,448.0,,0.0,0.0002491276170686,1.0,0,548.9994494736842,226.1,66.73046666666667,5.208017817371938,22.35064,低表现,93.1,89.7,66.7,91.2,22.4
pjvyzxbj995,,人工智能学院,智能科学与技术,35372.0,0.0,,0.0,0.011811995396321,1.0,0,10.719614645669292,98.8,71.78976666666667,246.93,27.69912,低表现,5.5,11.9,71.8,77.6,27.7
pjvyzxbj997,,人工智能学院,智能科学与技术,14658.0,0.0,,0.0,0.0666457147613348,1.0,0,12.906243103448276,138.8,80.13189999999999,1393.23,43.710800000000006,高表现,40.8,54.1,80.1,65.4,43.7
pjvyzxbj998,,人工智能学院,智能科学与技术,8200.0,0.0,,0.0,0.1310852608607884,1.0,0,9.817375,125.0,79.90820000000001,2740.34,29.634666666666668,低表现,3.3,32.9,79.9,33.3,29.6
